[1206/203836.603:WARNING:minidump_to_upload_parameters.cc(66)] duplicate annotation name plat, discarding value Win64
[1206/203836.605:WARNING:minidump_to_upload_parameters.cc(66)] duplicate annotation name prod, discarding value OperaDesktop
[1206/203836.605:WARNING:minidump_to_upload_parameters.cc(66)] duplicate annotation name ver, discarding value 56.0.3051.116
[1206/203836.605:WARNING:minidump_to_upload_parameters.cc(66)] duplicate annotation name channel, discarding value Stable
[1206/203836.605:WARNING:minidump_to_upload_parameters.cc(66)] duplicate annotation name ptype, discarding value gpu-process
[1206/203905.298:WARNING:minidump_to_upload_parameters.cc(66)] duplicate annotation name plat, discarding value Win64
[1206/203905.299:WARNING:minidump_to_upload_parameters.cc(66)] duplicate annotation name prod, discarding value OperaDesktop
[1206/203905.299:WARNING:minidump_to_upload_parameters.cc(66)] duplicate annotation name ver, discarding value 56.0.3051.116
[1206/203905.299:WARNING:minidump_to_upload_parameters.cc(66)] duplicate annotation name channel, discarding value Stable
[1206/203905.299:WARNING:minidump_to_upload_parameters.cc(66)] duplicate annotation name ptype, discarding value gpu-process
[1206/203931.776:WARNING:minidump_to_upload_parameters.cc(66)] duplicate annotation name plat, discarding value Win64
[1206/203931.776:WARNING:minidump_to_upload_parameters.cc(66)] duplicate annotation name prod, discarding value OperaDesktop
[1206/203931.776:WARNING:minidump_to_upload_parameters.cc(66)] duplicate annotation name ver, discarding value 56.0.3051.116
[1206/203931.776:WARNING:minidump_to_upload_parameters.cc(66)] duplicate annotation name channel, discarding value Stable
[1206/203931.776:WARNING:minidump_to_upload_parameters.cc(66)] duplicate annotation name ptype, discarding value gpu-process
